Actual_Price,Linear_Regression,Random_Forest,XGBoost,Neural_Network,Stacking_Ensemble,Voting_Ensemble
2125,1619.1050492799877,1868.5287301587298,2089.0562,1872.9736,1929.8356041108577,1870.5223213966822
4350,4036.3602158177637,4164.053703241203,3582.5044,3934.2097,4081.4546947530434,3922.717260450098
800,808.0150837335377,739.6097418236412,610.3737,1045.0088,730.8526387207515,717.4086357583859
6000,6655.3975490162975,6713.2110266387845,6840.421,6110.7485,6763.802839383876,6766.283977198039
3000,3033.370572416371,3000.0,3051.011,3017.2744,2996.4497027525376,3013.224711658772
5905,5475.035369435244,5480.36693560789,5544.376,5143.962,5560.951598183103,5573.393908080104
10400,9599.896116485448,9976.212667887667,9584.202,8860.982,9853.454986702069,9708.888273618088
5910,5471.551254499974,5636.57120597838,5548.6377,5164.444,5608.954713019693,5564.582191770428
5250,5343.394111665601,5288.318452380952,5446.6416,4785.2183,5316.259316940312,5347.28765836331
3400,3909.216195760121,4138.864013670988,4137.5728,3811.193,4044.9238637595563,4031.9867104888567
5150,4814.645754477355,4983.753853585128,4808.218,4553.499,4929.616752553898,4864.730645630287
800,820.9140961638363,798.6094806909747,407.1275,1206.9196,648.4490901706633,612.0101098589034
2000,2236.19524749216,1855.5143428502276,2078.7373,2264.059,1960.0333163049866,2061.0167280301994
2200,2305.0840243697976,2194.9719309526504,2129.9438,2346.0554,2220.470519293667,2246.8262750189606
5000,4595.396949127287,4934.281393467643,4665.9946,4387.196,4810.359445162281,4711.782463022918
5925,5505.4544289273645,5314.450703338808,5954.0835,5202.0815,5789.694532679186,5756.278266341799
2000,2051.744258100168,1998.086201079622,2000.9451,2203.4673,2007.941931217852,2027.8096809430706
3000,3904.8484255100434,3898.6945463033685,3855.822,3927.373,3874.6741174312665,3886.839047390989
700,937.882096379733,844.4353874883286,882.21466,1279.456,860.19183030925,886.3256677381281
2100,1859.6827378063872,2086.5650036075035,1982.7136,1597.5703,1996.4902463632407,1955.3878385344226
700,684.8333292671064,730.2359975808505,677.74365,1099.9424,685.3884033704272,681.9037943081345
9000,8271.016359475441,8947.95836894723,8283.966,7690.2524,8713.724861397255,8512.735332612208
5575,5093.500546579174,5368.702552822507,5296.8125,4903.5825,5330.49951571634,5287.222067291398
4000,3738.8716205769433,3705.3349206349208,3580.7239,3595.4268,3676.336204602083,3674.198423094029
1000,991.9096157406248,993.0986381673881,1053.5487,1292.4135,987.587348546112,999.9346117474496
11850,10984.282568806631,11871.745515873015,11459.648,10067.098,11652.383752276726,11479.499013286515
1850,1819.5494103889055,1994.1073809523805,1988.0701,2047.5679,1934.8465151912524,1910.2159742012288
